"Date","District","Meantemp","Totalrain","meanAOI","meanADI","Number.of.Sites","Total.traps","Number.of.positive.traps","Nummosquito.per.1000.traps","Period","year","month"
2010-01-01,"Hong Kong Island & Kowloon",16.9655913978495,24.125,0,NA,21,1155,0,NA,"2010 ~ 2019","2010","01"
2010-01-01,"New Territories East",16.3161290322581,20.1666666666667,0,NA,6,330,0,NA,"2010 ~ 2019","2010","01"
2010-01-01,"New Territories West",16.4209677419355,22,0,NA,10,550,0,NA,"2010 ~ 2019","2010","01"
2010-02-01,"Hong Kong Island & Kowloon",17.8916666666667,95.125,0.00219047619047619,NA,21,1155,3,NA,"2010 ~ 2019","2010","02"
2010-02-01,"New Territories East",17.5125,65.6666666666667,0,NA,6,330,0,NA,"2010 ~ 2019","2010","02"
2010-02-01,"New Territories West",17.5392857142857,89.75,0.0018,NA,10,550,1,NA,"2010 ~ 2019","2010","02"
2010-03-01,"Hong Kong Island & Kowloon",20.1150537634409,9.625,0.0141904761904762,NA,21,1155,16,NA,"2010 ~ 2019","2010","03"
2010-03-01,"New Territories East",19.7690702087287,10.5,0.00742857142857143,NA,6,330,2,NA,"2010 ~ 2019","2010","03"
2010-03-01,"New Territories West",19.8008064516129,15.5,0.0238,NA,10,550,13,NA,"2010 ~ 2019","2010","03"
2010-04-01,"Hong Kong Island & Kowloon",21.1433333333333,92.125,0.0295238095238095,NA,21,1155,34,NA,"2010 ~ 2019","2010","04"
2010-04-01,"New Territories East",20.6401149425287,90.5,0.0127142857142857,NA,6,330,4,NA,"2010 ~ 2019","2010","04"
2010-04-01,"New Territories West",21.1075,111.375,0.0494,NA,10,550,27,NA,"2010 ~ 2019","2010","04"
2010-05-01,"Hong Kong Island & Kowloon",25.6021505376344,180.125,0.0924285714285714,NA,21,1155,107,NA,"2010 ~ 2019","2010","05"
2010-05-01,"New Territories East",25.2424964936886,163.166666666667,0.0822857142857143,NA,6,330,27,NA,"2010 ~ 2019","2010","05"
2010-05-01,"New Territories West",25.7475806451613,207.5,0.1189,NA,10,550,65,NA,"2010 ~ 2019","2010","05"
2010-06-01,"Hong Kong Island & Kowloon",27.0511111111111,458.375,0.106047619047619,NA,21,1155,122,NA,"2010 ~ 2019","2010","06"
2010-06-01,"New Territories East",27.1084126984127,166,0.147714285714286,NA,6,330,49,NA,"2010 ~ 2019","2010","06"
2010-06-01,"New Territories West",26.8866666666667,277.375,0.0862,NA,10,550,47,NA,"2010 ~ 2019","2010","06"
2010-07-01,"Hong Kong Island & Kowloon",29.1817204301075,411.75,0.135952380952381,NA,21,1155,157,NA,"2010 ~ 2019","2010","07"
2010-07-01,"New Territories East",28.8263723825693,408.833333333333,0.132428571428571,NA,6,330,44,NA,"2010 ~ 2019","2010","07"
2010-07-01,"New Territories West",28.8338709677419,234.375,0.1134,NA,10,550,62,NA,"2010 ~ 2019","2010","07"
2010-08-01,"Hong Kong Island & Kowloon",28.9333333333333,265.375,0.0992380952380952,NA,21,1155,115,NA,"2010 ~ 2019","2010","08"
2010-08-01,"New Territories East",28.7537634408602,220.5,0.142571428571429,NA,6,330,47,NA,"2010 ~ 2019","2010","08"
2010-08-01,"New Territories West",28.4266594982079,177.625,0.0758,NA,10,550,42,NA,"2010 ~ 2019","2010","08"
2010-09-01,"Hong Kong Island & Kowloon",28.1277777777778,617,0.0778095238095238,NA,21,1155,90,NA,"2010 ~ 2019","2010","09"
2010-09-01,"New Territories East",27.9322222222222,344.833333333333,0.0978571428571429,NA,6,330,32,NA,"2010 ~ 2019","2010","09"
2010-09-01,"New Territories West",27.6926666666667,449.375,0.0673,NA,10,550,37,NA,"2010 ~ 2019","2010","09"
2010-10-01,"Hong Kong Island & Kowloon",25.1387096774194,36.375,0.0263333333333333,NA,21,1155,30,NA,"2010 ~ 2019","2010","10"
2010-10-01,"New Territories East",24.5118279569892,51.1666666666667,0.062,NA,6,330,20,NA,"2010 ~ 2019","2010","10"
2010-10-01,"New Territories West",24.6509677419355,24.5,0.0232,NA,10,550,13,NA,"2010 ~ 2019","2010","10"
2010-11-01,"Hong Kong Island & Kowloon",21.2144444444444,37.5,0.004,NA,21,1155,5,NA,"2010 ~ 2019","2010","11"
2010-11-01,"New Territories East",20.5777777777778,37.5,0.008,NA,6,330,3,NA,"2010 ~ 2019","2010","11"
2010-11-01,"New Territories West",20.8793333333333,34.75,0.0091,NA,10,550,5,NA,"2010 ~ 2019","2010","11"
2010-12-01,"Hong Kong Island & Kowloon",17.9301075268817,17.625,0.00161904761904762,NA,21,1155,2,NA,"2010 ~ 2019","2010","12"
2010-12-01,"New Territories East",17.0451612903226,19,0,NA,6,330,0,NA,"2010 ~ 2019","2010","12"
2010-12-01,"New Territories West",17.5935483870968,21.5,0,NA,10,550,0,NA,"2010 ~ 2019","2010","12"
2011-01-01,"Hong Kong Island & Kowloon",13.6881720430108,4.25,0,NA,24,1320,0,NA,"2010 ~ 2019","2011","01"
2011-01-01,"New Territories East",12.347311827957,8.83333333333333,0,NA,8,440,0,NA,"2010 ~ 2019","2011","01"
2011-01-01,"New Territories West",12.7987096774194,5.25,0,NA,12,660,0,NA,"2010 ~ 2019","2011","01"
2011-02-01,"Hong Kong Island & Kowloon",16.1452380952381,21.25,0.00075,NA,24,1320,1,NA,"2010 ~ 2019","2011","02"
2011-02-01,"New Territories East",15.6,23.8333333333333,0,NA,8,440,0,NA,"2010 ~ 2019","2011","02"
2011-02-01,"New Territories West",15.8139682539683,17.125,0,NA,12,660,0,NA,"2010 ~ 2019","2011","02"
2011-03-01,"Hong Kong Island & Kowloon",17.901935483871,17.875,0,NA,24,1320,0,NA,"2010 ~ 2019","2011","03"
2011-03-01,"New Territories East",17.3634408602151,18.6666666666667,0,NA,8,440,0,NA,"2010 ~ 2019","2011","03"
2011-03-01,"New Territories West",17.6645161290323,28.75,0,NA,12,660,0,NA,"2010 ~ 2019","2011","03"
2011-04-01,"Hong Kong Island & Kowloon",22.5633333333333,31.25,0.00666666666666667,NA,24,1320,9,NA,"2010 ~ 2019","2011","04"
2011-04-01,"New Territories East",22.5377777777778,70.1666666666667,0.00225,NA,8,440,1,NA,"2010 ~ 2019","2011","04"
2011-04-01,"New Territories West",22.6446666666667,25.625,0,NA,12,660,0,NA,"2010 ~ 2019","2011","04"
2011-05-01,"Hong Kong Island & Kowloon",25.9193548387097,169.875,0.0824583333333333,NA,24,1320,109,NA,"2010 ~ 2019","2011","05"
2011-05-01,"New Territories East",25.5967741935484,204.333333333333,0.119875,NA,8,440,53,NA,"2010 ~ 2019","2011","05"
2011-05-01,"New Territories West",25.8432258064516,169,0.113583333333333,NA,12,660,75,NA,"2010 ~ 2019","2011","05"
2011-06-01,"Hong Kong Island & Kowloon",28.4333333333333,423.25,0.106416666666667,NA,24,1320,140,NA,"2010 ~ 2019","2011","06"
2011-06-01,"New Territories East",28.31,466.666666666667,0.16575,NA,8,440,73,NA,"2010 ~ 2019","2011","06"
2011-06-01,"New Territories West",28.302,350.625,0.117,NA,12,660,77,NA,"2010 ~ 2019","2011","06"
2011-07-01,"Hong Kong Island & Kowloon",28.7279569892473,219.875,0.138833333333333,NA,24,1320,183,NA,"2010 ~ 2019","2011","07"
2011-07-01,"New Territories East",28.5935483870968,226.666666666667,0.142125,NA,8,440,63,NA,"2010 ~ 2019","2011","07"
2011-07-01,"New Territories West",28.4774193548387,200.5,0.15175,NA,12,660,100,NA,"2010 ~ 2019","2011","07"
2011-08-01,"Hong Kong Island & Kowloon",29.4064516129032,139.125,0.0816666666666667,NA,24,1320,108,NA,"2010 ~ 2019","2011","08"
2011-08-01,"New Territories East",29.3440860215054,149,0.1225,NA,8,440,54,NA,"2010 ~ 2019","2011","08"
2011-08-01,"New Territories West",29.1122849462366,134.375,0.0659166666666667,NA,12,660,44,NA,"2010 ~ 2019","2011","08"
2011-09-01,"Hong Kong Island & Kowloon",28.1550957854406,135.75,0.0534166666666667,NA,24,1320,71,NA,"2010 ~ 2019","2011","09"
2011-09-01,"New Territories East",27.6233333333333,128.333333333333,0.07575,NA,8,440,33,NA,"2010 ~ 2019","2011","09"
2011-09-01,"New Territories West",27.7547619047619,100.75,0.0589166666666667,NA,12,660,39,NA,"2010 ~ 2019","2011","09"
2011-10-01,"Hong Kong Island & Kowloon",24.9344086021505,147.375,0.0270416666666667,NA,24,1320,36,NA,"2010 ~ 2019","2011","10"
2011-10-01,"New Territories East",24.2247311827957,185.833333333333,0.02975,NA,8,440,13,NA,"2010 ~ 2019","2011","10"
2011-10-01,"New Territories West",24.5174193548387,82.125,0.02825,NA,12,660,19,NA,"2010 ~ 2019","2011","10"
2011-11-01,"Hong Kong Island & Kowloon",23.1852490421456,91.875,0.014,NA,24,1320,18,NA,"2010 ~ 2019","2011","11"
2011-11-01,"New Territories East",22.5311111111111,97.8333333333333,0.018125,NA,8,440,8,NA,"2010 ~ 2019","2011","11"
2011-11-01,"New Territories West",22.7856551724138,93.125,0.009,NA,12,660,6,NA,"2010 ~ 2019","2011","11"
2011-12-01,"Hong Kong Island & Kowloon",17.0835001853912,2.5,0.003,NA,24,1320,4,NA,"2010 ~ 2019","2011","12"
2011-12-01,"New Territories East",15.7709677419355,0,0,NA,8,440,0,NA,"2010 ~ 2019","2011","12"
2011-12-01,"New Territories West",16.4103225806452,0.625,0.00433333333333333,NA,12,660,3,NA,"2010 ~ 2019","2011","12"
2012-01-01,"Hong Kong Island & Kowloon",15.2021505376344,38.75,0,NA,24,1320,0,NA,"2010 ~ 2019","2012","01"
2012-01-01,"New Territories East",13.8849462365591,43.8333333333333,0,NA,8,440,0,NA,"2010 ~ 2019","2012","01"
2012-01-01,"New Territories West",14.2587096774194,45.25,0,NA,12,660,0,NA,"2010 ~ 2019","2012","01"
2012-02-01,"Hong Kong Island & Kowloon",16.1137931034483,31.875,0,NA,24,1320,0,NA,"2010 ~ 2019","2012","02"
2012-02-01,"New Territories East",15.0655172413793,48.3333333333333,0,NA,8,440,0,NA,"2010 ~ 2019","2012","02"
2012-02-01,"New Territories West",15.8655172413793,36,0,NA,12,660,0,NA,"2010 ~ 2019","2012","02"
2012-03-01,"Hong Kong Island & Kowloon",19.3763440860215,21.875,0.003875,NA,24,1320,5,NA,"2010 ~ 2019","2012","03"
2012-03-01,"New Territories East",18.4688172043011,29.5,0.002125,NA,8,440,1,NA,"2010 ~ 2019","2012","03"
2012-03-01,"New Territories West",19.3464516129032,24,0.00416666666666667,NA,12,660,3,NA,"2010 ~ 2019","2012","03"
2012-04-01,"Hong Kong Island & Kowloon",23.8611111111111,275.25,0.037,NA,24,1320,49,NA,"2010 ~ 2019","2012","04"
2012-04-01,"New Territories East",23.4244444444444,259.5,0.0315,NA,8,440,14,NA,"2010 ~ 2019","2012","04"
2012-04-01,"New Territories West",23.7773333333333,323.25,0.0734166666666667,NA,12,660,48,NA,"2010 ~ 2019","2012","04"
2012-05-01,"Hong Kong Island & Kowloon",27.1118279569892,312.875,0.117041666666667,NA,24,1320,154,NA,"2010 ~ 2019","2012","05"
2012-05-01,"New Territories East",26.7677419354839,279.5,0.103375,NA,8,440,45,NA,"2010 ~ 2019","2012","05"
2012-05-01,"New Territories West",27.1535483870968,138.25,0.156583333333333,NA,12,660,103,NA,"2010 ~ 2019","2012","05"
2012-06-01,"Hong Kong Island & Kowloon",28.1544444444444,232.75,0.126375,NA,24,1320,167,NA,"2010 ~ 2019","2012","06"
2012-06-01,"New Territories East",27.6744444444444,321.833333333333,0.12375,NA,8,440,54,NA,"2010 ~ 2019","2012","06"
2012-06-01,"New Territories West",27.9626666666667,144.375,0.0988333333333333,NA,12,660,65,NA,"2010 ~ 2019","2012","06"
2012-07-01,"Hong Kong Island & Kowloon",28.6763440860215,390.625,0.050875,NA,24,1320,67,NA,"2010 ~ 2019","2012","07"
2012-07-01,"New Territories East",28.2087311827957,573.833333333333,0.081875,NA,8,440,36,NA,"2010 ~ 2019","2012","07"
2012-07-01,"New Territories West",28.3135483870968,408,0.0496666666666667,NA,12,660,33,NA,"2010 ~ 2019","2012","07"
2012-08-01,"Hong Kong Island & Kowloon",29.389247311828,154.25,0.07,NA,24,1320,92,NA,"2010 ~ 2019","2012","08"
2012-08-01,"New Territories East",28.8552836484983,131.333333333333,0.076125,NA,8,440,33,NA,"2010 ~ 2019","2012","08"
2012-08-01,"New Territories West",29.0154838709677,87.75,0.0728333333333333,NA,12,660,48,NA,"2010 ~ 2019","2012","08"
2012-09-01,"Hong Kong Island & Kowloon",27.8566666666667,195.125,0.0441666666666667,NA,24,1320,58,NA,"2010 ~ 2019","2012","09"
2012-09-01,"New Territories East",27.1499206349206,84.8333333333333,0.039,NA,8,440,17,NA,"2010 ~ 2019","2012","09"
2012-09-01,"New Territories West",27.6673333333333,49.125,0.04775,NA,12,660,32,NA,"2010 ~ 2019","2012","09"
2012-10-01,"Hong Kong Island & Kowloon",25.3064516129032,42.75,0.020625,NA,24,1320,27,NA,"2010 ~ 2019","2012","10"
2012-10-01,"New Territories East",24.7236559139785,53.8333333333333,0.031625,NA,8,440,14,NA,"2010 ~ 2019","2012","10"
2012-10-01,"New Territories West",25.3045161290323,50.25,0.02325,NA,12,660,15,NA,"2010 ~ 2019","2012","10"
2012-11-01,"Hong Kong Island & Kowloon",22.3788888888889,57,0.00504166666666667,NA,24,1320,7,NA,"2010 ~ 2019","2012","11"
2012-11-01,"New Territories East",21.2444444444444,88.3333333333333,0.016,NA,8,440,7,NA,"2010 ~ 2019","2012","11"
2012-11-01,"New Territories West",21.8166666666667,69,0.00775,NA,12,660,5,NA,"2010 ~ 2019","2012","11"
2012-12-01,"Hong Kong Island & Kowloon",18.1043010752688,47.375,0.00466666666666667,NA,24,1320,6,NA,"2010 ~ 2019","2012","12"
2012-12-01,"New Territories East",16.9096774193548,45.6666666666667,0.004375,NA,8,440,2,NA,"2010 ~ 2019","2012","12"
2012-12-01,"New Territories West",17.4109677419355,50.375,0.00141666666666667,NA,12,660,1,NA,"2010 ~ 2019","2012","12"
2013-01-01,"Hong Kong Island & Kowloon",16.9752688172043,3.25,0.000791666666666667,NA,24,1320,1,NA,"2010 ~ 2019","2013","01"
2013-01-01,"New Territories East",15.7322580645161,9.66666666666667,0,NA,8,440,0,NA,"2010 ~ 2019","2013","01"
2013-01-01,"New Territories West",16.2303225806452,2.625,0.00158333333333333,NA,12,660,1,NA,"2010 ~ 2019","2013","01"
2013-02-01,"Hong Kong Island & Kowloon",19.272619047619,2.375,0.00075,NA,24,1320,1,NA,"2010 ~ 2019","2013","02"
2013-02-01,"New Territories East",18.5857142857143,1,0,NA,8,440,0,NA,"2010 ~ 2019","2013","02"
2013-02-01,"New Territories West",19.0607142857143,1.125,0,NA,12,660,0,NA,"2010 ~ 2019","2013","02"
2013-03-01,"Hong Kong Island & Kowloon",20.6290322580645,123.125,0,NA,24,1320,0,NA,"2010 ~ 2019","2013","03"
2013-03-01,"New Territories East",19.7118279569892,111.666666666667,0,NA,8,440,0,NA,"2010 ~ 2019","2013","03"
2013-03-01,"New Territories West",20.5096774193548,122,0.0015,NA,12,660,1,NA,"2010 ~ 2019","2013","03"
2013-04-01,"Hong Kong Island & Kowloon",21.882619047619,185,0.0250833333333333,NA,24,1320,33,NA,"2010 ~ 2019","2013","04"
2013-04-01,"New Territories East",21.13,242.166666666667,0.0255,NA,8,440,11,NA,"2010 ~ 2019","2013","04"
2013-04-01,"New Territories West",21.7353333333333,207.625,0.0234166666666667,NA,12,660,15,NA,"2010 ~ 2019","2013","04"
2013-05-01,"Hong Kong Island & Kowloon",25.7602150537634,397.375,0.0982916666666667,NA,24,1320,130,NA,"2010 ~ 2019","2013","05"
2013-05-01,"New Territories East",25.4704086021505,421.166666666667,0.133375,NA,8,440,59,NA,"2010 ~ 2019","2013","05"
2013-05-01,"New Territories West",25.7622365591398,351.25,0.126833333333333,NA,12,660,84,NA,"2010 ~ 2019","2013","05"
2013-06-01,"Hong Kong Island & Kowloon",28.2533333333333,347.5,0.136416666666667,NA,24,1320,180,NA,"2010 ~ 2019","2013","06"
2013-06-01,"New Territories East",28.1644444444444,440.666666666667,0.15875,NA,8,440,70,NA,"2010 ~ 2019","2013","06"
2013-06-01,"New Territories West",28.0784761904762,288.5,0.128083333333333,NA,12,660,85,NA,"2010 ~ 2019","2013","06"
2013-07-01,"Hong Kong Island & Kowloon",28.0774193548387,398.375,0.085,NA,24,1320,112,NA,"2010 ~ 2019","2013","07"
2013-07-01,"New Territories East",28.005376344086,416.666666666667,0.075125,NA,8,440,33,NA,"2010 ~ 2019","2013","07"
2013-07-01,"New Territories West",27.9735483870968,284.875,0.03975,NA,12,660,26,NA,"2010 ~ 2019","2013","07"
2013-08-01,"Hong Kong Island & Kowloon",28.6172043010753,348.625,0.0735416666666667,NA,24,1320,97,NA,"2010 ~ 2019","2013","08"
2013-08-01,"New Territories East",28.6036482334869,392,0.07425,NA,8,440,33,NA,"2010 ~ 2019","2013","08"
2013-08-01,"New Territories West",28.2884086021505,273.25,0.041,NA,12,660,27,NA,"2010 ~ 2019","2013","08"
2013-09-01,"Hong Kong Island & Kowloon",27.7733333333333,360.625,0.0504583333333333,NA,24,1320,67,NA,"2010 ~ 2019","2013","09"
2013-09-01,"New Territories East",27.4802380952381,297.833333333333,0.085875,NA,8,440,38,NA,"2010 ~ 2019","2013","09"
2013-09-01,"New Territories West",27.4113333333333,281.625,0.0575833333333333,NA,12,660,38,NA,"2010 ~ 2019","2013","09"
2013-10-01,"Hong Kong Island & Kowloon",25.5652947719689,1.375,0.0225416666666667,NA,24,1320,30,NA,"2010 ~ 2019","2013","10"
2013-10-01,"New Territories East",25.0806451612903,2.66666666666667,0.03825,NA,8,440,17,NA,"2010 ~ 2019","2013","10"
2013-10-01,"New Territories West",25.2129032258064,6.125,0.0120833333333333,NA,12,660,8,NA,"2010 ~ 2019","2013","10"
2013-11-01,"Hong Kong Island & Kowloon",21.93,62.75,0.00775,NA,24,1320,10,NA,"2010 ~ 2019","2013","11"
2013-11-01,"New Territories East",21.0844444444444,46.5,0.00225,NA,8,440,1,NA,"2010 ~ 2019","2013","11"
2013-11-01,"New Territories West",21.4966666666667,50.625,0.005,NA,12,660,3,NA,"2010 ~ 2019","2013","11"
2013-12-01,"Hong Kong Island & Kowloon",16.052688172043,76,0.00075,NA,24,1320,1,NA,"2010 ~ 2019","2013","12"
2013-12-01,"New Territories East",14.4559139784946,72,0.00225,NA,8,440,1,NA,"2010 ~ 2019","2013","12"
2013-12-01,"New Territories West",15.3974193548387,113.75,0,NA,12,660,0,NA,"2010 ~ 2019","2013","12"
2014-01-01,"Hong Kong Island & Kowloon",16.2086021505376,0.125,0,NA,24,1320,0,NA,"2010 ~ 2019","2014","01"
2014-01-01,"New Territories East",15.258064516129,0,0,NA,8,440,0,NA,"2010 ~ 2019","2014","01"
2014-01-01,"New Territories West",15.9554838709677,0,0,NA,12,660,0,NA,"2010 ~ 2019","2014","01"
2014-02-01,"Hong Kong Island & Kowloon",15.5607142857143,35.625,0,NA,24,1320,0,NA,"2010 ~ 2019","2014","02"
2014-02-01,"New Territories East",14.777380952381,28.3333333333333,0,NA,8,440,0,NA,"2010 ~ 2019","2014","02"
2014-02-01,"New Territories West",15.2085714285714,34.875,0,NA,12,660,0,NA,"2010 ~ 2019","2014","02"
2014-03-01,"Hong Kong Island & Kowloon",18.8075268817204,152.4,0,NA,24,1320,0,NA,"2010 ~ 2019","2014","03"
2014-03-01,"New Territories East",18.446523297491,218.833333333333,0,NA,8,440,0,NA,"2010 ~ 2019","2014","03"
2014-03-01,"New Territories West",18.9129032258065,200.125,0,NA,12,660,0,NA,"2010 ~ 2019","2014","03"
